2453005.500000000, A.D. 2004-Jan-01 00:00:00.0000,  9.353916540953335E-02,  2.066174417321427E+08,  1.849357069413257E+00,  4.954093443286114E+01,  2.865162979964845E+02,  2.452881962307474E+06,  6.065290634533656E-06,  6.473882962000478E+01,  7.488692835714457E+01,  2.279386310446510E+08,  2.492598203571593E+08,  5.935412195258792E+07,
2453007.500000000, A.D. 2004-Jan-03 00:00:00.0000,  9.353846814100217E-02,  2.066174490917082E+08,  1.849357208394135E+00,  4.954093458039713E+01,  2.865160188204860E+02,  2.452881961800988E+06,  6.065297308794275E-06,  6.578724965357179E+01,  7.599971723807330E+01,  2.279384638286537E+08,  2.492594785655991E+08,  5.935405663923912E+07,
2453009.500000000, A.D. 2004-Jan-05 00:00:00.0000,  9.353777642999486E-02,  2.066174557375336E+08,  1.849357356182081E+00,  4.954093482673345E+01,  2.865157335268142E+02,  2.452881961283693E+06,  6.065303958705268E-06,  6.683567739010429E+01,  7.710869076199678E+01,  2.279382972230135E+08,  2.492591387084935E+08,  5.935399156431519E+07,
2453011.500000000, A.D. 2004-Jan-07 00:00:00.0000,  9.353708967810515E-02,  2.066174625775581E+08,  1.849357520791596E+00,  4.954093520024659E+01,  2.865154446908396E+02,  2.452881960759424E+06,  6.065310550293556E-06,  6.788411042772340E+01,  7.821384842018294E+01,  2.279381320788801E+08,  2.492588015802020E+08,  5.935392706026839E+07,
2453013.500000000, A.D. 2004-Jan-09 00:00:00.0000,  9.353640669615240E-02,  2.066174703490956E+08,  1.849357705972806E+00,  4.954093573163936E+01,  2.865151540209403E+02,  2.452881960230622E+06,  6.065317063028505E-06,  6.893254722337677E+01,  7.931519217971180E+01,  2.279379689106137E+08,  2.492584674721319E+08,  5.935386332800326E+07,
2453015.500000000, A.D. 2004-Jan-11 00:00:00.0000,  9.353572609271875E-02,  2.066174796181133E+08,  1.849357912283519E+00,  4.954093644743484E+01,  2.865148625414639E+02,  2.452881959698648E+06,  6.065323485954090E-06,  6.998098689629339E+01,  8.041272626580728E+01,  2.279378079926925E+08,  2.492581363672717E+08,  5.935380047472787E+07,
2453017.500000000, A.D. 2004-Jan-13 00:00:00.0000,  9.353504651866304E-02,  2.066174908047346E+08,  1.849358138139755E+00,  4.954093736660552E+01,  2.865145707982966E+02,  2.452881959164120E+06,  6.065329814111812E-06,  7.102942901777595E+01,  8.150645691849132E+01,  2.279376494493327E+08,  2.492578080939308E+08,  5.935373854895923E+07,
2453019.500000000, A.D. 2004-Jan-15 00:00:00.0000,  9.353436679888261E-02,  2.066175042186505E+08,  1.849358380703991E+00,  4.954093849958944E+01,  2.865142790441254E+02,  2.452881958627213E+06,  6.065336045659028E-06,  7.207787342611002E+01,  8.259639216727329E+01,  2.279374933266867E+08,  2.492574824347229E+08,  5.935367756872311E+07,
2453021.500000000, A.D. 2004-Jan-17 00:00:00.0000,  9.353368598566610E-02,  2.066175200937015E+08,  1.849358636544295E+00,  4.954093984874976E+01,  2.865139873828684E+02,  2.452881958087882E+06,  6.065342179810715E-06,  7.312632008443704E+01,  8.368254164537244E+01,  2.279373396444098E+08,  2.492571591951181E+08,  5.935361754169568E+07,
2453023.500000000, A.D. 2004-Jan-19 00:00:00.0000,  9.353300336590298E-02,  2.066175386170385E+08,  1.849358902085707E+00,  4.954094140958443E+01,  2.865136958730159E+02,  2.452881957546030E+06,  6.065348215483063E-06,  7.417476898010196E+01,  8.476491644445083E+01,  2.279371884296428E+08,  2.492568382422470E+08,  5.935355847847699E+07,
2453025.500000000, A.D. 2004-Jan-21 00:00:00.0000,  9.353231844521115E-02,  2.066175599516854E+08,  1.849359173901830E+00,  4.954094317224612E+01,  2.865134045971268E+02,  2.452881957001613E+06,  6.065354150459328E-06,  7.522322005732455E+01,  8.584352900308096E+01,  2.279370397379104E+08,  2.492565195241354E+08,  5.935350040075356E+07,
2453027.500000000, A.D. 2004-Jan-23 00:00:00.0000,  9.353163092305104E-02,  2.066175842528385E+08,  1.849359448892570E+00,  4.954094512312866E+01,  2.865131137057007E+02,  2.452881956454711E+06,  6.065359980921859E-06,  7.627167317463186E+01,  8.691839302100878E+01,  2.279368936648456E+08,  2.492562030768526E+08,  5.935344334587780E+07,
2453029.500000000, A.D. 2004-Jan-25 00:00:00.0000,  9.353094066674464E-02,  2.066176116788279E+08,  1.849359724385834E+00,  4.954094724640176E+01,  2.865128234426851E+02,  2.452881955905564E+06,  6.065365701230210E-06,  7.732012807974121E+01,  8.798952339210982E+01,  2.279367503517479E+08,  2.492558890246678E+08,  5.935338736903908E+07,
2453031.500000000, A.D. 2004-Jan-27 00:00:00.0000,  9.353024768808875E-02,  2.066176423976409E+08,  1.849359998188457E+00,  4.954094952543783E+01,  2.865125341577693E+02,  2.452881955354595E+06,  6.065371303868631E-06,  7.836858439686631E+01,  8.905693615098491E+01,  2.279366099868988E+08,  2.492555775761566E+08,  5.935333254377747E+07,
2453033.500000000, A.D. 2004-Jan-29 00:00:00.0000,  9.352955212385229E-02,  2.066176765897874E+08,  1.849360268602910E+00,  4.954095194409076E+01,  2.865122463090004E+02,  2.452881954802413E+06,  6.065376779515606E-06,  7.941704162312926E+01,  9.012064842974027E+01,  2.279364728038193E+08,  2.492552690178512E+08,  5.935327896130311E+07,
