2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000,  8.982653059205783E-02,  3.214854981231864E+08,  7.141488007385684E+00,  1.041327158074172E+02,  1.505048288156064E+02,  2.443666207720994E+06,  3.144290235294131E-06,  1.557444080029768E+02,  1.595762506253227E+02,  3.532134356017970E+08,  3.849413730804077E+08,  1.144932474614017E+08,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000,  8.982855699320187E-02,  3.214838999389216E+08,  7.141491983547930E+00,  1.041326785654634E+02,  1.505030940745628E+02,  2.443666202735081E+06,  3.144303181314346E-06,  1.571047427374327E+02,  1.607304414717345E+02,  3.532124660787895E+08,  3.849410322186574E+08,  1.144927760590557E+08,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000,  8.983062224665124E-02,  3.214822855693342E+08,  7.141495994723966E+00,  1.041326424892265E+02,  1.505013301186945E+02,  2.443666197632346E+06,  3.144316163604651E-06,  1.584651222331117E+02,  1.618831589688170E+02,  3.532114938462083E+08,  3.849407021230825E+08,  1.144923033399081E+08,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000,  8.983273611088360E-02,  3.214806499864624E+08,  7.141500052671596E+00,  1.041326074350905E+02,  1.504995388110368E+02,  2.443666192425540E+06,  3.144329205365225E-06,  1.598255442528484E+02,  1.630344906292892E+02,  3.532105171666861E+08,  3.849403843469098E+08,  1.144918284592229E+08,
2444259.500000000, A.D. 1980-Jan-21 00:00:00.0000,  8.983490408285326E-02,  3.214789908644292E+08,  7.141504163550146E+00,  1.041325733216667E+02,  1.504977226564621E+02,  2.443666187126501E+06,  3.144342312237989E-06,  1.611860059473323E+02,  1.641845232445185E+02,  3.532095356178038E+08,  3.849400803711783E+08,  1.144913512116210E+08,
2444264.500000000, A.D. 1980-Jan-26 00:00:00.0000,  8.983712835500242E-02,  3.214773078050113E+08,  7.141508318490780E+00,  1.041325401962117E+02,  1.504958834885739E+02,  2.443666181742102E+06,  3.144355478708203E-06,  1.625465052487967E+02,  1.653333441320647E+02,  3.532085496126469E+08,  3.849397914202825E+08,  1.144908717979619E+08,
2444269.500000000, A.D. 1980-Jan-31 00:00:00.0000,  8.983941102424317E-02,  3.214756001010904E+08,  7.141512479903044E+00,  1.041325083198518E+02,  1.504940205512966E+02,  2.443666176269756E+06,  3.144368704288102E-06,  1.639070429126129E+02,  1.664810429690991E+02,  3.532075591878361E+08,  3.849395182745817E+08,  1.144903902360603E+08,
2444274.500000000, A.D. 1980-Feb-05 00:00:00.0000,  8.984176293863577E-02,  3.214738609100891E+08,  7.141516565758113E+00,  1.041324782491873E+02,  1.504921281411715E+02,  2.443666170696053E+06,  3.144382033158030E-06,  1.652676249807982E+02,  1.676277140656664E+02,  3.532065610349631E+08,  3.849392611598370E+08,  1.144899049173225E+08,
2444279.500000000, A.D. 1980-Feb-10 00:00:00.0000,  8.984422253361708E-02,  3.214720653005193E+08,  7.141520452444554E+00,  1.041324507678368E+02,  1.504901953433826E+02,  2.443666165012166E+06,  3.144395631935881E-06,  1.666282628151975E+02,  1.687734566854222E+02,  3.532055426768888E+08,  3.849390200532582E+08,  1.144894097751822E+08,
2444284.500000000, A.D. 1980-Feb-15 00:00:00.0000,  8.984687680455709E-02,  3.214701578118761E+08,  7.141524058223629E+00,  1.041324262807003E+02,  1.504882160625853E+02,  2.443666159271126E+06,  3.144409863522513E-06,  1.679889617472109E+02,  1.699183655927264E+02,  3.532044769381567E+08,  3.849387960644373E+08,  1.144888915965654E+08,
2444289.500000000, A.D. 1980-Feb-20 00:00:00.0000,  8.984983489787372E-02,  3.214680712642306E+08,  7.141527540762267E+00,  1.041324035787923E+02,  1.504862148694688E+02,  2.443666153665527E+06,  3.144425147997422E-06,  1.693496928983993E+02,  1.710625064091166E+02,  3.532033323623683E+08,  3.849385934605061E+08,  1.144883350870260E+08,
2444294.500000000, A.D. 1980-Feb-25 00:00:00.0000,  8.985312026131621E-02,  3.214657956950161E+08,  7.141531349581046E+00,  1.041323797562717E+02,  1.504842561292198E+02,  2.443666148469333E+06,  3.144441510072671E-06,  1.707103845458945E+02,  1.722059065884759E+02,  3.532021071009039E+08,  3.849384185067918E+08,  1.144877393479264E+08,
2444299.500000000, A.D. 1980-Mar-01 00:00:00.0000,  8.985662556463042E-02,  3.214634033111363E+08,  7.141535872082931E+00,  1.041323526175353E+02,  1.504823994812336E+02,  2.443666143824889E+06,  3.144458446569786E-06,  1.720709718781081E+02,  1.733485976225494E+02,  3.532008388354904E+08,  3.849382743598445E+08,  1.144871227007993E+08,
2444304.500000000, A.D. 1980-Mar-06 00:00:00.0000,  8.986021792306033E-02,  3.214609790707646E+08,  7.141541169726625E+00,  1.041323221242918E+02,  1.504806634169541E+02,  2.443666139692071E+06,  3.144475399616517E-06,  1.734314357698174E+02,  1.744906500729975E+02,  3.531995693421843E+08,  3.849381596136040E+08,  1.144865054577637E+08,
2444309.500000000, A.D. 1980-Mar-11 00:00:00.0000,  8.986381813012061E-02,  3.214585717739465E+08,  7.141547111229405E+00,  1.041322893381632E+02,  1.504790403441219E+02,  2.443666135975937E+06,  3.144492063662711E-06,  1.747917850503178E+02,  1.756321595390860E+02,  3.531983215011936E+08,  3.849380712284408E+08,  1.144858987434273E+08,
